File selected,Parent folder,Probability for Lucila,Probability for Mosca Domestica,Probability for Piofila
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (44)piofila_360.png,Piofila,0.0001,0.0000,0.9998
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (45)piofila_361.png,Piofila,0.0001,0.0003,0.9996
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (5)piofila_321.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (52)piofila_368.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (10)piofila_379.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (24)piofila_393.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (29)piofila_398.png,Piofila,0.0000,0.0005,0.9995
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (30)piofila_399.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (32)piofila_401.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (39)piofila_408.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (4)piofila_373.png,Piofila,0.0000,0.0003,0.9997
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (43)piofila_412.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (44)piofila_413.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (51)piofila_420.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_3x (27)piofila_449.png,Piofila,0.0000,0.0011,0.9989
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_3x (3)piofila_425.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_3x (33)piofila_455.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_3x (34)piofila_456.png,Piofila,0.0000,0.0006,0.9994
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_3x (36)piofila_458.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_3x (53)piofila_475.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_3x (55)piofila_477.png,Piofila,0.0000,0.0006,0.9994
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_4x (27)piofila_503.png,Piofila,0.0001,0.0007,0.9992
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_4x (33)piofila_509.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_4x (34)piofila_510.png,Piofila,0.0000,0.0004,0.9995
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_4x (39)piofila_515.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_4x (42)piofila_518.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_4x (45)piofila_521.png,Piofila,0.0000,0.0001,0.9998
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_4x (50)piofila_526.png,Piofila,0.0000,0.0000,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (105).png,MoscaDomestica,0.0000,1.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (106).png,MoscaDomestica,0.0002,0.9997,0.0001
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (109).png,MoscaDomestica,0.0003,0.9997,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (11).png,MoscaDomestica,0.0019,0.9981,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (12).png,MoscaDomestica,0.0142,0.9858,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (18).png,MoscaDomestica,0.0007,0.9993,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (20).png,MoscaDomestica,0.0001,0.9999,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (24).png,MoscaDomestica,0.0015,0.9985,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (34).png,MoscaDomestica,0.0025,0.9952,0.0023
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (36).png,MoscaDomestica,0.0198,0.5209,0.4593
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (42).png,MoscaDomestica,0.0019,0.9981,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (52).png,MoscaDomestica,0.0000,1.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (56).png,MoscaDomestica,0.0003,0.9997,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (66).png,MoscaDomestica,0.0000,1.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (67).png,MoscaDomestica,0.0001,0.9999,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (71).png,MoscaDomestica,0.0005,0.9995,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (79).png,MoscaDomestica,0.0000,1.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (81).png,MoscaDomestica,0.0001,0.9999,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (89).png,MoscaDomestica,0.0008,0.9992,0.0001
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (90).png,MoscaDomestica,0.0003,0.9996,0.0001
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (91).png,MoscaDomestica,0.0000,1.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/MoscaDomestica/mosca domestica 1 (94).png,MoscaDomestica,0.0018,0.9982,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (13)lucila_11.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (18)lucila_16.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (21)lucila_19.png,Lucila,0.7268,0.2732,0.0001
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (24)lucila_22.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (32)lucila_30.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (34)lucila_32.png,Lucila,0.9805,0.0195,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (37)lucila_35.png,Lucila,0.9983,0.0017,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (38)lucila_36.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (42)lucila_40.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (45)lucila_43.png,Lucila,0.9995,0.0005,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (59)lucila_57.png,Lucila,0.9979,0.0021,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (62)lucila_60.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/luciala 1 (8)lucila_6.png,Lucila,0.9985,0.0015,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (10)lucila_71.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (117)lucila_178.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (118)lucila_179.png,Lucila,0.9997,0.0002,0.0001
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (125)lucila_186.png,Lucila,0.9866,0.0016,0.0118
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (131)lucila_192.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (134)lucila_195.png,Lucila,0.9998,0.0002,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (136)lucila_197.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (148)lucila_209.png,Lucila,0.9959,0.0038,0.0003
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (15)lucila_76.png,Lucila,0.9999,0.0001,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (151)lucila_212.png,Lucila,0.9955,0.0045,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (153)lucila_214.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (18)lucila_79.png,Lucila,0.9939,0.0061,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (29)lucila_90.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (32)lucila_93.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (35)lucila_96.png,Lucila,0.9998,0.0002,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (37)lucila_98.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (4)lucila_65.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (6)lucila_67.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (62)lucila_123.png,Lucila,0.9998,0.0002,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (67)lucila_128.png,Lucila,0.9988,0.0012,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (68)lucila_129.png,Lucila,0.7413,0.2586,0.0001
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (77)lucila_138.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (82)lucila_143.png,Lucila,0.9961,0.0039,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (89)lucila_150.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (9)lucila_70.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (91)lucila_152.png,Lucila,0.9997,0.0003,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (94)lucila_155.png,Lucila,1.0000,0.0000,0.0000
